Clean_text,clean_author
Be yourself everyone else is already taken,Oscar Wilde
Youve gotta dance like theres nobody watchingLove like youll never be hurtSing like theres nobody listeningAnd live like its heaven on earth,William W Purkey
Be the change that you wish to see in the world,Mahatma Gandhi
Live as if you were to die tomorrow Learn as if you were to live forever,Mahatma Gandhi
Darkness cannot drive out darkness: only light can do that Hate cannot drive out hate: only love can do that,Martin Luther King Jr
Without music life would be a mistake,Friedrich Nietzsche
We accept the love we think we deserve,Stephen Chbosky
Imperfection is beauty madness is genius and its better to be absolutely ridiculous than absolutely boring,Marilyn Monroe
There are only two ways to live your life One is as though nothing is a miracle The other is as though everything is a miracle,Albert Einstein
We are all in the gutter but some of us are looking at the stars,Oscar Wilde
Fairy tales are more than true: not because they tell us that dragons exist but because they tell us that dragons can be beaten,Neil Gaiman
Yesterday is history tomorrow is a mystery today is a gift of God which is why we call it the present,Bill Keane
I have not failed Ive just found 10000 ways that wont work,Thomas A Edison
The opposite of love is not hate its indifference The opposite of art is not ugliness its indifference The opposite of faith is not heresy its indifference And the opposite of life is not death its indifference,Elie Wiesel
I am enough of an artist to draw freely upon my imagination Imagination is more important than knowledge Knowledge is limited Imagination encircles the world,Albert Einstein
You have brains in your head You have feet in your shoes You can steer yourself any direction you choose Youre on your own And you know what you know And YOU are the one wholl decide where to go,Dr Seuss
It is never too late to be what you might have been,George Eliot
This life is what you make it No matter what youre going to mess up sometimes its a universal truth But the good part is you get to decide how youre going to mess it up Girls will be your friends theyll act like it anyway But just remember some come some go The ones that stay with you through everything theyre your true best friends Dont let go of them Also remember sisters make the best friends in the world As for lovers well theyll come and go too And baby I hate to say it most of them actually pretty much all of them are going to break your heart but you cant give up because if you give up youll never find your soulmate Youll never find that half who makes you whole and that goes for everything Just because you fail once doesnt mean youre gonna fail at everything Keep trying hold on and always always always believe in yourself because if you dont then who will sweetie So keep your head high keep your chin up and most importantly keep smiling because lifes a beautiful thing and theres so much to smile about,Marilyn Monroe
There is no greater agony than bearing an untold story inside you,Maya Angelou
Everything you can imagine is real,Pablo Picasso
You can never get a cup of tea large enough or a book long enough to suit me,CS Lewis
Life isnt about finding yourself Life is about creating yourself,George Bernard Shaw
To the wellorganized mind death is but the next great adventure,JK Rowling
Do what you can with what you have where you are,Theodore Roosevelt
Listen to the mustnts child Listen to the donts Listen to the shouldnts the impossibles the wonts Listen to the never haves then listen close to me Anything can happen child Anything can be,Shel Silverstein
Success is not final failure is not fatal: it is the courage to continue that counts,Winston S Churchill
When one door of happiness closes another opens but often we look so long at the closed door that we do not see the one which has been opened for us,Helen Keller
So this is my life And I want you to know that I am both happy and sad and Im still trying to figure out how that could be,Stephen Chbosky
And when you want something all the universe conspires in helping you to achieve it,Paulo Coelho
You may say Im a dreamer but Im not the only one I hope someday youll join us And the world will live as one,John Lennon
Our deepest fear is not that we are inadequate Our deepest fear is that we are powerful beyond measure It is our light not our darkness that most frightens us We ask ourselves Who am I to be brilliant gorgeous talented fabulous Actually who are you not to be You are a child of God Your playing small does not serve the world There is nothing enlightened about shrinking so that other people wont feel insecure around you We are all meant to shine as children do We were born to make manifest the glory of God that is within us Its not just in some of us its in everyone And as we let our own light shine we unconsciously give other people permission to do the same As we are liberated from our own fear our presence automatically liberates others,Marianne Williamson
It s no use going back to yesterday because I was a different person then,Lewis Carroll
What youre supposed to do when you dont like a thing is change it If you cant change it change the way you think about it Dont complain,Maya Angelou
Its the possibility of having a dream come true that makes life interesting,Paulo Coelho
A persons a person no matter how small,Dr Seuss
He s not perfect You aren t either and the two of you will never be perfect But if he can make you laugh at least once causes you to think twice and if he admits to being human and making mistakes hold onto him and give him the most you can He isn t going to quote poetry he s not thinking about you every moment but he will give you a part of him that he knows you could break Don t hurt him don t change him and don t expect for more than he can give Don t analyze Smile when he makes you happy yell when he makes you mad and miss him when he s not there Love hard when there is love to be had Because perfect guys don t exist but there s always one guy that is perfect for you,Bob Marley
When we honestly ask ourselves which person in our lives mean the most to us we often find that it is those who instead of giving advice solutions or cures have chosen rather to share our pain and touch our wounds with a warm and tender hand The friend who can be silent with us in a moment of despair or confusion who can stay with us in an hour of grief and bereavement who can tolerate not knowing not curing not healing and face with us the reality of our powerlessness that is a friend who cares,Henri Nouwen
You cant live your life for other people Youve got to do whats right for you even if it hurts some people you love,Nicholas Sparks
Wellbehaved women seldom make history,Laurel Thatcher Ulrich
When I despair I remember that all through history the way of truth and love have always won There have been tyrants and murderers and for a time they can seem invincible but in the end they always fall Think of italways,Mahatma Gandhi
So we beat on boats against the current borne back ceaselessly into the past,F Scott Fitzgerald
Nothing is impossible the word itself says Im possible,Audrey Hepburn
I cant give you a surefire formula for success but I can give you a formula for failure: try to please everybody all the time,Herbert Bayard Swope
Do what you feel in your heart to be right â€“ for you ll be criticized anyway,Eleanor Roosevelt
[]the only people for me are the mad ones the ones who are mad to live mad to talk mad to be saved desirous of everything at the same time the ones who never yawn or say a commonplace thing but burn burn burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes Awww,Jack Kerouac
Happiness is not something ready made It comes from your own actions,Dalai Lama XIV
Never doubt that a small group of thoughtful committed citizens can change the world Indeed it is the only thing that ever has,Margaret Mead
Peace begins with a smile,Mother Teresa
Do not read as children do to amuse yourself or like the ambitious for the purpose of instruction No read in order to live,Gustave Flaubert
Imagining the future is a kind of nostalgia () You spend your whole life stuck in the labyrinth thinking about how youll escape it one day and how awesome it will be and imagining that future keeps you going but you never do it You just use the future to escape the present,John Green
What lies behind us and what lies before us are tiny matters compared to what lies within us,Ralph Waldo Emerson
For attractive lips speak words of kindnessFor lovely eyes seek out the good in peopleFor a slim figure share your food with the hungryFor beautiful hair let a child run his fingers through it once a dayFor poise walk with the knowledge you ll never walk aloneWe leave you a tradition with a futureThe tender loving care of human beings will never become obsoletePeople even more than things have to be restored renewed revived reclaimed and redeemed and redeemed and redeemedNever throw out anybodyRemember if you ever need a helping hand you ll find one at the end of your armAs you grow older you will discover that you have two hands: one for helping yourself the other for helping othersYour good old days are still ahead of you may you have many of them,Sam Levenson
Friendship is unnecessary like philosophy like art It has no survival value rather it is one of those things which give value to survival,CS Lewis
Promise YourselfTo be so strong that nothingcan disturb your peace of mindTo talk health happiness and prosperityto every person you meetTo make all your friends feelthat there is something in themTo look at the sunny side of everythingand make your optimism come trueTo think only the best to work only for the bestand to expect only the bestTo be just as enthusiastic about the success of othersas you are about your ownTo forget the mistakes of the pastand press on to the greater achievements of the futureTo wear a cheerful countenance at all timesand give every living creature you meet a smileTo give so much time to the improvement of yourselfthat you have no time to criticize othersTo be too large for worry too noble for anger too strong for fearand too happy to permit the presence of troubleTo think well of yourself and to proclaim this fact to the worldnot in loud words but great deedsTo live in faith that the whole world is on your sideso long as you are true to the best that is in you,Christian D Larson
Whatever you are be a good one,Abraham Lincoln
I hope shell be a fool thats the best thing a girl can be in this world a beautiful little fool,F Scott Fitzgerald
Two wrongs dont make a right but they make a good excuse,Thomas Szasz
May you live every day of your life,Jonathan Swift
First they ignore you Then they ridicule you And then they attack you and want to burn you And then they build monuments to you,Nicholas Klein
Who controls the past controls the future Who controls the present controls the past,George Orwell
